regime,nystrom_error,kpca_distortion,method
Population-share,0.052499728415811124,0.11980532638009646,nsga2
Population-share,0.05295623277807234,0.12400153656362901,nsga2
Population-share,0.08414269001102236,0.232046589560567,nsga2
Population-share,0.04791845924686762,0.10531704201586276,nsga2
Population-share,0.11210452880557249,0.3059730482620204,nsga2
Population-share,0.08980520859454119,0.25339185907814543,nsga2
Population-share,0.06647757967446873,0.17025179970238072,nsga2
Population-share,0.04404430943541753,0.0877481627707488,nsga2
Population-share,0.0458008580467022,0.09876493105402138,nsga2
Population-share,0.08944112295612074,0.2383392615571647,nsga2
Population-share,0.04823771534410419,0.11006617952597753,nsga2
Population-share,0.04871759886342256,0.10986535527224778,nsga2
Population-share,0.05025685398672465,0.11272561134504062,nsga2
Population-share,0.054915920510942406,0.12896340259619807,nsga2
Population-share,0.07413442871137343,0.18685931513168247,nsga2
Population-share,0.05827376029812399,0.14247402021292954,nsga2
Population-share,0.05870494773978625,0.1395404234965338,nsga2
Population-share,0.11854036066830131,0.2671117133780951,nsga2
Population-share,0.07506924341531032,0.1858310060626653,nsga2
Population-share,0.06190885382504156,0.14943688922451867,nsga2
Population-share,0.08335311778758653,0.20137706027025512,nsga2
Population-share,0.05722547582785781,0.13602858657758696,nsga2
Population-share,0.06433961209192395,0.15708979951019741,nsga2
Population-share,0.07182853187066206,0.1821184224870089,nsga2
Population-share,0.06972284794560363,0.16369971438510278,nsga2
Population-share,0.06196460993551582,0.15108245200807108,nsga2
Population-share,0.04732576802821757,0.10081500011317436,nsga2
Population-share,0.06987095254061385,0.17729045160624737,nsga2
Population-share,0.0621103898853599,0.1523479523738206,nsga2
Population-share,0.08023508693081789,0.1994853954156455,nsga2
Population-share,0.0711582253174825,0.18135743055007084,nsga2
Population-share,0.06566487083355423,0.1669174701836982,nsga2
Population-share,0.06894351529868761,0.17837075786098147,nsga2
Population-share,0.05839587895006004,0.13660980558553193,nsga2
Population-share,0.05996431959994536,0.14565336109690039,nsga2
Population-share,0.08503686430959442,0.2033706152558214,nsga2
Population-share,0.04466229277906864,0.0888965278447893,nsga2
Population-share,0.08127879645021294,0.2149657633911481,nsga2
Population-share,0.07320878292303463,0.19650131416876795,nsga2
Population-share,0.07754908044519111,0.19986089412118213,nsga2
Population-share,0.07173444438239009,0.175834606387948,nsga2
Population-share,0.08697549337473329,0.2068724548182927,nsga2
Population-share,0.07229829526225787,0.18379794026654564,nsga2
Population-share,0.08698335636183994,0.21696943506225877,nsga2
Population-share,0.08624153348874476,0.2141951336207037,nsga2
Population-share,0.09911756638366508,0.21865378427817378,nsga2
Population-share,0.05538306285709921,0.13194079774316708,nsga2
Population-share,0.04692816023582996,0.09800739118241195,nsga2
Population-share,0.05783136226000279,0.1373317895148553,nsga2
Population-share,0.06332128539854402,0.15383752286224292,nsga2
Population-share,0.07628986234252738,0.19524695884327825,nsga2
Population-share,0.08609662249758458,0.20467471649451704,nsga2
Population-share,0.05756401287345534,0.14048594709802356,nsga2
Population-share,0.06860004742675427,0.16452104364343811,nsga2
Population-share,0.07314561422877422,0.18310052448609698,nsga2
Population-share,0.04702022233425296,0.09942619076710753,nsga2
Population-share,0.06191070993224545,0.15800522520218482,nsga2
Population-share,0.052169369945172704,0.11785748009743079,nsga2
Population-share,0.0818218003721084,0.1984622949759032,nsga2
Population-share,0.058593927339780215,0.1430134462996709,nsga2
Population-share,0.059502627521119456,0.14110708513759004,nsga2
Population-share,0.09316035367671793,0.23328326999138793,nsga2
Population-share,0.04209304102589082,0.07863212834332821,nsga2
Population-share,0.10360098453621827,0.22907090572249542,nsga2
Population-share,0.047956851538438476,0.10536252931572099,nsga2
Population-share,0.06241109322900565,0.15110064010861085,nsga2
Population-share,0.06766406520103169,0.1653417794178359,nsga2
Population-share,0.0416060327521322,0.07624536678984299,nsga2
Population-share,0.048953141438048506,0.10805918685222639,nsga2
Population-share,0.04463377465667041,0.08918425392680832,nsga2
Population-share,0.06310847673343206,0.15927913671907798,nsga2
Population-share,0.05357042061458197,0.12524110468136818,nsga2
Population-share,0.059671520876810394,0.1473069505208099,nsga2
Population-share,0.05210664204674922,0.11886361759572564,nsga2
Population-share,0.06780899092833774,0.1787465550884052,nsga2
Population-share,0.0748646948964861,0.189188267974957,nsga2
Population-share,0.05207826824930272,0.120404336126973,nsga2
Population-share,0.0484125163748615,0.10700428403008475,nsga2
Population-share,0.04657649972854911,0.09771796294174981,nsga2
Population-share,0.07145113721876242,0.18044737100087732,nsga2
Population-share,0.08353993178267934,0.1882973719635669,nsga2
Population-share,0.047965446147582594,0.10433206942862823,nsga2
Population-share,0.06479701276435881,0.15775698711316072,nsga2
Population-share,0.04745504164936375,0.10312705629654353,nsga2
Population-share,0.04977666977299092,0.10589329929432602,nsga2
Population-share,0.05636322752848657,0.13611537711117666,nsga2
Population-share,0.05327397579879625,0.12476487328437798,nsga2
Population-share,0.10942529095948338,0.22860657199666362,nsga2
Population-share,0.08286668936656989,0.20139649661711845,nsga2
Population-share,0.04936500152057702,0.10897578862845737,nsga2
Population-share,0.055498704175585785,0.13605942968977056,nsga2
Population-share,0.08253150219027411,0.18726979838270572,nsga2
Population-share,0.05934914893152817,0.1402583134033297,nsga2
Population-share,0.044259150125955736,0.08812626624413505,nsga2
Population-share,0.05972577066829066,0.14624225623799517,nsga2
Population-share,0.041753362094794466,0.07683292015702646,nsga2
Population-share,0.053959014786218895,0.12434618168994659,nsga2
Population-share,0.058646640471987005,0.14607604447779401,nsga2
Population-share,0.056242107650429,0.13479935376605368,nsga2
Population-share,0.0569357454191063,0.13775180500646597,nsga2
Population-share,0.04642956420638072,0.09863082910498515,nsga2
Population-share,0.056722849372016104,0.13687322027596227,nsga2
Population-share,0.0467583485599777,0.09706239007911227,nsga2
Population-share,0.04437669996453851,0.0878377336915094,nsga2
Population-share,0.04397697888095878,0.08375774703748676,nsga2
Population-share,0.044482384802319565,0.08951152128755284,nsga2
Population-share,0.0739637437107589,0.18156833934370845,nsga2
Population-share,0.07366181763615062,0.17227089451431038,nsga2
Population-share,0.06355970355220188,0.15535989423278823,nsga2
Population-share,0.0713155374831216,0.17705249384670257,nsga2
Population-share,0.07622713698293519,0.18238045777528725,nsga2
Population-share,0.047776986243284816,0.10272270219660831,nsga2
Population-share,0.04360600738068652,0.08477365559098772,nsga2
Quota mode,0.037427302868578295,0.06284552861179211,nsga2
Quota mode,0.036878899463067695,0.05914602265454834,nsga2
Quota mode,0.036878899463067695,0.05914602265454834,nsga2
Quota mode,0.037427302868578295,0.06284552861179211,nsga2
Quota mode,0.03680141129845823,0.058537350261669646,nsga2
Quota mode,0.03761365551648858,0.06305752226798211,nsga2
Quota mode,0.03687613853846499,0.05875335610576239,nsga2
Quota mode,0.03738591739334126,0.06289513306447779,nsga2
Quota mode,0.0376443878895336,0.06329938029614166,nsga2
Quota mode,0.03693936738533925,0.0590653127973016,nsga2
Quota mode,0.03686515156931674,0.05886633515936542,nsga2
Quota mode,0.03688750365181554,0.0587384915637652,nsga2
Quota mode,0.037148557936153855,0.06084354858683055,nsga2
Quota mode,0.0370848153711296,0.05951877751400432,nsga2
Quota mode,0.036863806115174966,0.05850160702582261,nsga2
Quota mode,0.03686515156931674,0.05886633515936542,nsga2
Quota mode,0.037761711943610395,0.06359734063980803,nsga2
Quota mode,0.037524065032903724,0.0630153437962085,nsga2
Quota mode,0.036878899463067695,0.05914602265454834,nsga2
Quota mode,0.03685152841681654,0.05876394209353266,nsga2
Quota mode,0.037073920711673494,0.0598634694487356,nsga2
Quota mode,0.03686726350506431,0.05950557047964271,nsga2
Quota mode,0.03701410958873716,0.060139408367367884,nsga2
Quota mode,0.03693749443740372,0.05979482521747331,nsga2
Quota mode,0.03684203384012697,0.058722266972514786,nsga2
Quota mode,0.0365797652907843,0.05768899493497514,nsga2
Quota mode,0.03692289579118894,0.05976490713134605,nsga2
Quota mode,0.037083763666813714,0.06025566020487065,nsga2
Quota mode,0.036748143652523386,0.05780311794072932,nsga2
Quota mode,0.03693077642766346,0.05982197751087749,nsga2
Quota mode,0.03691672698876838,0.05930900493098341,nsga2
Quota mode,0.03685152841681654,0.05876394209353266,nsga2
Quota mode,0.036963549212695096,0.05943509047369734,nsga2
Quota mode,0.036583101769305855,0.05701637427510242,nsga2
Quota mode,0.036515430218919405,0.0571995332889454,nsga2
Quota mode,0.03701410958873716,0.060139408367367884,nsga2
Quota mode,0.036883234596666946,0.05973559897409931,nsga2
Quota mode,0.0370827691655077,0.05996994193600467,nsga2
Quota mode,0.03701801228195825,0.05995166622230557,nsga2
Quota mode,0.03692289579118894,0.05976490713134605,nsga2
Quota mode,0.03691258408380842,0.05962660466048811,nsga2
Quota mode,0.036817556801208275,0.05810663971996822,nsga2
Quota mode,0.03678776862677018,0.05797028498218571,nsga2
Quota mode,0.03691258408380842,0.05962660466048811,nsga2
Quota mode,0.036906655899085754,0.05890782718883202,nsga2
Quota mode,0.03701801228195825,0.05995166622230557,nsga2
Quota mode,0.03701410958873716,0.060139408367367884,nsga2
Quota mode,0.03701801228195825,0.05995166622230557,nsga2
Quota mode,0.036883234596666946,0.05973559897409931,nsga2
Quota mode,0.03688750365181554,0.0587384915637652,nsga2
Quota mode,0.0370563371366287,0.06004539772462359,nsga2
Quota mode,0.0370563371366287,0.06004539772462359,nsga2
Quota mode,0.0376443878895336,0.06329938029614166,nsga2
Quota mode,0.03673496176009967,0.05773104949317862,nsga2
Quota mode,0.03678776862677018,0.05797028498218571,nsga2
Quota mode,0.03685918687527642,0.05872827131499517,nsga2
Quota mode,0.03686127820036509,0.05876538564086448,nsga2
Quota mode,0.03686127820036509,0.05876538564086448,nsga2
Quota mode,0.03685918687527642,0.05872827131499517,nsga2
Quota mode,0.03683689160577386,0.0584853853847288,nsga2
Quota mode,0.036817556801208275,0.05810663971996822,nsga2
Quota mode,0.03689312432295109,0.058527152385566536,nsga2
Quota mode,0.03674426920502191,0.05836720099401806,nsga2
Quota mode,0.03691672698876838,0.05930900493098341,nsga2
Quota mode,0.036664022886136176,0.05794228589860422,nsga2
Quota mode,0.03693077642766346,0.05982197751087749,nsga2
Quota mode,0.037483673233703524,0.06323000294214269,nsga2
Quota mode,0.03685152841681654,0.05876394209353266,nsga2
Quota mode,0.03693338538170862,0.05919039254300429,nsga2
Quota mode,0.03761365551648858,0.06305752226798211,nsga2
Quota mode,0.03764168204965354,0.06330530429815849,nsga2
Quota mode,0.03695282469190469,0.058837207257744085,nsga2
Quota mode,0.0370563371366287,0.06004539772462359,nsga2
Quota mode,0.037761711943610395,0.06359734063980803,nsga2
Quota mode,0.03684203384012697,0.058722266972514786,nsga2
Quota mode,0.03762265015547848,0.06306108488198259,nsga2
Quota mode,0.037524065032903724,0.0630153437962085,nsga2
Quota mode,0.03762265015547848,0.06306108488198259,nsga2
Quota mode,0.03693071815712724,0.05866839495895593,nsga2
Quota mode,0.0374559488929375,0.06317648471395891,nsga2
Quota mode,0.03741874441413535,0.06297689924554477,nsga2
Quota mode,0.036583101769305855,0.05701637427510242,nsga2
Quota mode,0.03764168204965354,0.06330530429815849,nsga2
Quota mode,0.03690020416900375,0.05851669130440378,nsga2
Quota mode,0.03674426920502191,0.05836720099401806,nsga2
Quota mode,0.0365797652907843,0.05768899493497514,nsga2
Quota mode,0.03738591739334126,0.06289513306447779,nsga2
Quota mode,0.0370827691655077,0.05996994193600467,nsga2
Quota mode,0.03738591739334126,0.06289513306447779,nsga2
Quota mode,0.037386622893308,0.06296345729346571,nsga2
Quota mode,0.037483673233703524,0.06323000294214269,nsga2
Quota mode,0.037427302868578295,0.06284552861179211,nsga2
Quota mode,0.036583101769305855,0.05701637427510242,nsga2
Quota mode,0.03656832767306828,0.05741413497450878,nsga2
Quota mode,0.036664022886136176,0.05794228589860422,nsga2
Quota mode,0.037083763666813714,0.06025566020487065,nsga2
Quota mode,0.03763126798549002,0.06328869856608664,nsga2
Quota mode,0.03750819844391882,0.06342105264363997,nsga2
Quota mode,0.03741874441413535,0.06297689924554477,nsga2
Quota mode,0.036583101769305855,0.05701637427510242,nsga2
Quota mode,0.0365797652907843,0.05768899493497514,nsga2
Quota mode,0.03691672698876838,0.05930900493098341,nsga2
Quota mode,0.0365797652907843,0.05768899493497514,nsga2
Quota mode,0.03741695113581625,0.06298621852440285,nsga2
Quota mode,0.03656832767306828,0.05741413497450878,nsga2
Quota mode,0.03693338538170862,0.05919039254300429,nsga2
Quota mode,0.037483673233703524,0.06323000294214269,nsga2
Quota mode,0.037386622893308,0.06296345729346571,nsga2
Quota mode,0.036906655899085754,0.05890782718883202,nsga2
Quota mode,0.03683281755759174,0.05871967164194008,nsga2
Quota mode,0.03680141129845823,0.058537350261669646,nsga2
Quota mode,0.0374559488929375,0.06317648471395891,nsga2
Quota mode,0.03763126798549002,0.06328869856608664,nsga2
Quota mode,0.03689312432295109,0.058527152385566536,nsga2
Quota mode,0.03683281755759174,0.05871967164194008,nsga2
Quota mode,0.03741695113581625,0.06298621852440285,nsga2
Quota mode,0.03750819844391882,0.06342105264363997,nsga2
Quota mode,0.0370827691655077,0.05996994193600467,nsga2
Quota mode,0.03695282469190469,0.058837207257744085,nsga2
Quota mode,0.03693071815712724,0.05866839495895593,nsga2
Quota mode,0.03686196206456379,0.0585477743501349,nsga2
Quota mode,0.03693338538170862,0.05919039254300429,nsga2
Quota mode,0.03690020416900375,0.05851669130440378,nsga2
Quota mode,0.03683689160577386,0.0584853853847288,nsga2
Quota mode,0.036515430218919405,0.0571995332889454,nsga2
Quota mode,0.037083763666813714,0.06025566020487065,nsga2
Quota mode,0.037386622893308,0.06296345729346571,nsga2
Quota mode,0.03673496176009967,0.05773104949317862,nsga2
Quota mode,0.037524065032903724,0.0630153437962085,nsga2
Quota mode,0.03764168204965354,0.06330530429815849,nsga2
Quota mode,0.03750819844391882,0.06342105264363997,nsga2
Quota mode,0.03761365551648858,0.06305752226798211,nsga2
Quota mode,0.03656832767306828,0.05741413497450878,nsga2
Quota mode,0.03673496176009967,0.05773104949317862,nsga2
Quota mode,0.03693077642766346,0.05982197751087749,nsga2
Quota mode,0.03691258408380842,0.05962660466048811,nsga2
Quota mode,0.03683281755759174,0.05871967164194008,nsga2
Quota mode,0.03680141129845823,0.058537350261669646,nsga2
Quota mode,0.03688750365181554,0.0587384915637652,nsga2
Quota mode,0.037761711943610395,0.06359734063980803,nsga2
Quota mode,0.03741695113581625,0.06298621852440285,nsga2
Quota mode,0.03750819844391882,0.06342105264363997,nsga2
Quota mode,0.03741874441413535,0.06297689924554477,nsga2
Quota mode,0.03686127820036509,0.05876538564086448,nsga2
Quota mode,0.03763126798549002,0.06328869856608664,nsga2
Quota mode,0.03761365551648858,0.06305752226798211,nsga2
Quota mode,0.036817556801208275,0.05810663971996822,nsga2
Quota mode,0.03683689160577386,0.0584853853847288,nsga2
Quota mode,0.0374559488929375,0.06317648471395891,nsga2
Quota mode,0.03686196206456379,0.0585477743501349,nsga2
Quota mode,0.03684203384012697,0.058722266972514786,nsga2
Quota mode,0.03686196206456379,0.0585477743501349,nsga2
Quota mode,0.036515430218919405,0.0571995332889454,nsga2
Quota mode,0.03674426920502191,0.05836720099401806,nsga2
Quota mode,0.03762265015547848,0.06306108488198259,nsga2
Quota mode,0.03693077642766346,0.05982197751087749,nsga2
Quota mode,0.03761365551648858,0.06305752226798211,nsga2
Quota mode,0.03680141129845823,0.058537350261669646,nsga2
Quota mode,0.03693338538170862,0.05919039254300429,nsga2
Quota mode,0.03685918687527642,0.05872827131499517,nsga2
Quota mode,0.03685152841681654,0.05876394209353266,nsga2
Quota mode,0.03684203384012697,0.058722266972514786,nsga2
Quota mode,0.03701410958873716,0.060139408367367884,nsga2
Quota mode,0.03701801228195825,0.05995166622230557,nsga2
Quota mode,0.03764168204965354,0.06330530429815849,nsga2
Quota mode,0.03685918687527642,0.05872827131499517,nsga2
Quota mode,0.03695282469190469,0.058837207257744085,nsga2
Quota mode,0.03750819844391882,0.06342105264363997,nsga2
Quota mode,0.03691672698876838,0.05930900493098341,nsga2
Quota mode,0.0370827691655077,0.05996994193600467,nsga2
Quota mode,0.0376443878895336,0.06329938029614166,nsga2
Quota mode,0.0370827691655077,0.05996994193600467,nsga2
Quota mode,0.0376443878895336,0.06329938029614166,nsga2
Quota mode,0.0365797652907843,0.05768899493497514,nsga2
Quota mode,0.0370563371366287,0.06004539772462359,nsga2
Quota mode,0.0365797652907843,0.05768899493497514,nsga2
Quota mode,0.036817556801208275,0.05810663971996822,nsga2
Quota mode,0.03678776862677018,0.05797028498218571,nsga2
Quota mode,0.03695282469190469,0.058837207257744085,nsga2
Quota mode,0.037083763666813714,0.06025566020487065,nsga2
Quota mode,0.037083763666813714,0.06025566020487065,nsga2
Quota mode,0.0370563371366287,0.06004539772462359,nsga2
Quota mode,0.03691258408380842,0.05962660466048811,nsga2
Quota mode,0.03674426920502191,0.05836720099401806,nsga2
Quota mode,0.03693077642766346,0.05982197751087749,nsga2
Quota mode,0.03691672698876838,0.05930900493098341,nsga2
Quota mode,0.03685918687527642,0.05872827131499517,nsga2
Quota mode,0.03691258408380842,0.05962660466048811,nsga2
Quota mode,0.03686196206456379,0.0585477743501349,nsga2
Quota mode,0.036664022886136176,0.05794228589860422,nsga2
Quota mode,0.03688750365181554,0.0587384915637652,nsga2
Quota mode,0.037761711943610395,0.06359734063980803,nsga2
Quota mode,0.03691258408380842,0.05962660466048811,nsga2
Quota mode,0.037427302868578295,0.06284552861179211,nsga2
Quota mode,0.036878899463067695,0.05914602265454834,nsga2
Quota mode,0.03691672698876838,0.05930900493098341,nsga2
Quota mode,0.036878899463067695,0.05914602265454834,nsga2
Quota mode,0.037427302868578295,0.06284552861179211,nsga2
Quota mode,0.0365797652907843,0.05768899493497514,nsga2
Quota mode,0.03684203384012697,0.058722266972514786,nsga2
Joint,0.12380935501922422,0.3156262733783204,nsga2
Joint,0.20720060279284516,0.43456070329096497,nsga2
Joint,0.19457353405651212,0.38427387740887714,nsga2
Joint,0.1896251914381458,0.38567210493549564,nsga2
Joint,0.19968774089329616,0.4003033984129041,nsga2
Joint,0.09457114831742618,0.24077571423577068,nsga2
Joint,0.1312885293021948,0.29385375358580784,nsga2
Joint,0.08154066828474152,0.23276785205979583,nsga2
Joint,0.12324792936417531,0.2816245657957425,nsga2
Joint,0.07341203438131061,0.19069536964644115,nsga2
Joint,0.08097668032348085,0.21482745324574673,nsga2
Joint,0.18828008419553227,0.4117559225663785,nsga2
Joint,0.2178489383003026,0.41606372661377933,nsga2
Joint,0.17585722973660253,0.39644564412139877,nsga2
Joint,0.2602250158737887,0.46673638385176575,nsga2
Joint,0.27059698462828546,0.4658202840881867,nsga2
Joint,0.27059698462828546,0.4658202840881867,nsga2
Joint,0.13863519195176674,0.33794909767590214,nsga2
Joint,0.11185758868575273,0.2927028595110106,nsga2
